TrigID,REPID
109,68752
110,62575
111,64795
112,69316
113,55228
114,67150
115,69415
116,69307
117,69115
118,69064
119,69181
120,68971
121,69226
122,60520
123,51766
124,69271
125,69211
126,61204
127,69235
128,67507
129,69205
130,68839
131,62782
132,69337
133,68794
134,69208
135,68833
136,69421
137,68872
138,60946
139,69052
140,69217
141,68815
142,68929
143,69028
144,63325
145,69355
146,69493
147,69199
148,69535
149,69583
150,69040
151,69367
152,69109
153,69016
154,69466
155,69412
156,69610
157,69229
158,69037
159,69478
160,69142
161,69322
162,68863
163,69553
164,60763
165,61855
166,66475
167,69427
168,69472
169,67861
170,69004
171,67726
172,69169
173,67663
174,69292
175,67564
176,69214
177,69403
178,69361
179,69349
180,69556
181,69352
182,69394
183,67030
184,69622
185,69286
186,68890
187,69319
188,67387
189,65452
190,69475
191,62914
192,68848
193,69079
194,69343
195,67609
196,69151
197,69175
198,67408
199,69520
200,69463
201,69544
202,69571
203,69289
204,69259
205,69433
206,69511
207,69625
208,67876
209,69439
210,69295
211,69103
212,66595
213,50737
214,60820
215,70177
216,70048
217,70366
218,70342
219,70144
220,68209
221,69964
222,70117
223,69778
224,70345
225,69793
226,69889
227,70252
228,70006
229,70051
230,70012
231,12345
233,69799
234,70441
235,70132
236,70459
237,70486
238,69814
239,70495
240,69961
241,69934
242,70147
243,69937
244,70471
245,70288
246,70399
247,70504
248,70189
249,65074
250,69739
251,70300
252,70129
253,69868
254,69766
255,70294
256,70234
257,69754
258,70312
259,70309
260,69700
261,70492
262,66325
263,64213
264,70195
265,69697
266,63874
267,69709
268,69928
269,70630
270,70036
271,70243
272,70660
273,69757
274,70627
275,70201
276,62944
277,70240
278,69691
279,69790
280,70570
281,70732
282,69715
283,70762
284,65305
285,70678
286,70648
287,68521
288,70786
289,70633
290,70291
291,69802
292,70009
293,69823
294,70378
295,69655
296,70210
297,70321
298,69997
299,69907
300,70552
301,70099
302,69679
303,70654
304,70219
305,69820
306,70381
307,69991
308,70888
309,69925
310,70387
311,68374
312,70948
313,70759
314,70435
315,65470
316,70696
317,63835
318,70522
319,70141
320,70453
321,68257
322,69817
323,70744
324,70183
325,70276
326,70771
327,70402
328,69865
329,70081
330,70267
331,70045
332,70639
333,70237
334,69826
335,68188
336,70831
337,70261
338,70483
339,70096
340,70567
341,70246
342,70804
343,69886
344,70621
345,70027
346,70765
347,70330
348,70273
349,70999
350,70369
351,70354
352,70996
353,70180
354,70579
355,69862
356,69877
357,70894
358,69982
359,69880
360,69805
361,69946
362,69853
363,70153
366,71035
367,70756
368,70186
369,70390
370,70039
371,70078
372,70054
373,68362
374,70735
375,70822
376,70426
377,70465
378,70798
380,68017
381,70168
387,69736
388,70396
389,70411
390,70306
391,70516
393,70873
395,69958
396,70531
397,70852
398,70450
399,70540
400,70420
401,67261
402,68110
403,68290
405,70258
406,70546
407,70456
408,70489
409,70222
410,70885
411,70606
412,70915
413,70558
414,70699
415,70582
417,67459
418,70780
419,70750
420,70720
421,70612
422,70591
423,70795
426,71593
427,71791
428,71620
429,71122
430,71800
431,71710
432,71182
433,71167
434,65482
435,65770
436,71833
437,57370
438,71125
439,72508
440,72544
441,71152
442,71614
443,72076
444,71317
445,71578
446,71812
447,71065
448,71305
449,71164
450,72433
451,71191
452,71131
453,71608
454,72040
455,71509
456,71326
457,59392
458,72013
459,71227
460,71929
461,72034
462,71482
463,71689
464,68005
465,72085
466,71680
467,71944
468,71251
469,72097
470,71893
471,68086
472,72286
473,71560
