user,FigureRotation,EmbeddedFigure,LetterSets,Vocab,AddSubtract,MarkXYI,MarkXYII,MarkThetaI,MarkThetaII,Right Triangle Trig I,Right Triangle Trig II,Right Triangle Trig III,Right Triangle Trig IV,Right Triangle Trig V,TrigIDs
156,95,95,1.647933507,1.07336908,93.8,60,80,91.7,100,100,100,100,55.6,22.2,91.7
236,45,70,0.498928888,1.788542273,90.6,100,90,41.7,83.3,0,33.3,100,0,0,50
426,75,50,0.413110499,0.860260612,87.5,60,40,33.3,100,0,66.7,0,0,0,41.7
427,75,60,1.135360045,1.399072299,90.6,50,40,100,100,66.7,100,0,66.7,55.6,33.3
428,100,55,-0.547327726,0.499256782,96.9,60,40,91.7,91.7,100,100,100,0,33.3,16.7
429,90,45,-0.06326686,0.499256782,100,90,100,100,100,100,100,100,11.1,11.1,25
430,65,65,1.135360045,-1.117178278,96.9,50,90,58.3,100,100,100,100,0,0,41.7
431,95,65,0.655140932,-0.395170618,96.9,90,50,100,100,100,100,100,33.3,55.6,41.7
432,90,60,0.897171365,-0.217362761,84.4,30,60,33.3,100,0,33.3,0,0,0,41.7
433,55,60,-1.023705086,1.038068469,84.4,0,0,25,25,0,0,0,0,0,16.7
434,80,45,0.413110499,0.143641069,96.9,70,100,33.3,100,0,100,0,0,0,41.7
435,30,75,1.135360045,0.321448925,87.5,70,50,25,100,100,100,100,11.1,22.2,33.3
437,100,85,0.897171365,0.682452755,100,100,80,100,100,100,100,100,11.1,77.8,50
438,60,40,1.135360045,0.321448925,96.9,100,40,25,100,0,100,100,11.1,11.1,33.3
439,75,70,0.897171365,-0.217362761,84.4,30,20,25,100,0,33.3,0,11.1,0,8.3
440,70,50,-0.06326686,-0.756174448,87.5,90,80,100,100,100,100,100,33.3,22.2,25
441,85,85,0.655140932,1.399072299,100,100,100,100,100,100,100,100,66.7,100,66.7
442,45,65,0.655140932,0.143641069,84.4,0,10,25,83.3,0,66.7,0,0,0,41.7
443,75,60,-0.305297293,0.682452755,87.5,10,70,33.3,83.3,0,33.3,0,0,0,33.3
444,45,50,-1.265735519,-0.756174448,90.6,60,70,33.3,100,0,100,0,0,0,33.3
445,50,70,1.135360045,0.321448925,68.8,10,20,33.3,91.7,0,33.3,0,0,0,41.7
446,90,65,-0.06326686,0.682452755,71.9,0,10,25,58.3,0,0,0,0,0,33.3
447,75,50,-0.06326686,-0.395170618,84.4,60,70,41.7,75,33.3,100,100,11.1,11.1,33.3
448,60,45,-1.745954631,-2.011605678,90.6,0,0,58.3,100,0,0,0,0,0,33.3
451,100,80,1.135360045,0.499256782,84.4,50,60,91.7,91.7,100,100,100,66.7,66.7,25
452,90,60,1.135360045,1.399072299,93.8,50,70,100,91.7,0,100,100,22.2,55.6,25
453,55,50,-1.745954631,-0.756174448,3.1,0,0,33.3,50,0,100,0,0,0,25
455,70,70,-0.06326686,0.860260612,84.4,100,100,58.3,83.3,100,100,100,11.1,22.2,41.7
457,85,45,0.655140932,-1.655989965,90.6,60,60,25,100,100,100,100,33.3,44.4,41.7
459,60,65,0.413110499,0.682452755,87.5,30,70,66.7,100,100,100,100,22.2,0,50
460,60,80,1.135360045,0.860260612,96.9,60,100,25,91.7,100,100,100,11.1,55.6,33.3
461,70,50,0.897171365,0.682452755,84.4,90,90,91.7,100,100,100,100,0,22.2,25
462,95,70,0.174921819,-1.117178278,93.8,50,90,91.7,100,0,100,100,0,0,16.7
463,45,65,0.655140932,-0.395170618,100,80,70,41.7,91.7,0,66.7,0,11.1,11.1,25
464,30,65,-1.507765951,-1.294986135,87.5,20,50,25,58.3,0,33.3,0,0,0,25
465,90,50,0.174921819,-0.039554905,78.1,10,20,75,100,100,100,100,0,0,8.3
466,80,45,-1.984143311,0.860260612,100,60,80,25,100,0,100,0,0,0,41.7
467,85,55,0.897171365,-1.294986135,90.6,0,50,25,58.3,0,33.3,0,0,0,25
468,65,70,1.135360045,1.038068469,87.5,70,50,25,100,0,100,100,11.1,0,8.3
469,90,85,-0.785516406,0.682452755,59.4,30,0,91.7,100,100,100,100,33.3,33.3,41.7
470,70,70,0.897171365,-1.472793991,96.9,80,80,100,100,100,100,100,44.4,55.6,66.7
471,40,40,-2.226173744,-2.194801652,62.5,0,0,33.3,58.3,0,0,0,0,0,33.3
472,60,85,1.135360045,1.221264442,93.8,90,100,100,100,100,100,100,55.6,66.7,33.3
473,55,50,-0.785516406,-1.117178278,37.5,0,0,25,100,0,33.3,0,0,0,41.7
474,55,55,0.174921819,1.038068469,90.6,60,60,25,100,0,100,0,11.1,11.1,41.7
475,65,65,-1.507765951,1.576880155,90.6,30,70,91.7,100,100,100,100,0,22.2,25
476,65,75,0.655140932,1.576880155,78.1,60,50,66.7,100,0,66.7,0,55.6,55.6,25
477,95,80,0.897171365,-0.756174448,96.9,80,60,100,100,100,100,100,100,100,100
478,95,70,1.135360045,1.221264442,100,70,90,25,100,0,100,100,0,66.7,8.3
479,95,70,0.413110499,1.221264442,96.9,80,50,91.7,100,100,100,100,22.2,44.4,41.7
480,75,70,1.135360045,0.499256782,96.9,80,50,91.7,91.7,66.7,100,0,11.1,22.2,58.3
481,40,60,-0.305297293,-0.217362761,90.6,10,20,100,100,0,0,100,0,0,50
483,75,40,-0.785516406,-1.294986135,93.8,0,20,83.3,100,100,100,0,0,0,25
484,50,50,-0.785516406,-1.117178278,28.1,0,0,25,83.3,0,33.3,0,0,0,16.7
485,75,55,-2.226173744,-2.011605678,0,0,10,25,58.3,0,0,0,0,0,33.3
486,95,65,0.655140932,1.760076129,96.9,80,100,25,100,0,100,100,0,11.1,33.3
487,90,55,0.413110499,-0.039554905,68.8,70,90,25,100,66.7,100,100,0,0,50
488,90,65,0.655140932,0.143641069,96.9,60,100,25,100,0,100,0,0,0,25
489,85,75,0.413110499,1.221264442,93.8,70,90,25,100,0,100,0,11.1,0,25
490,65,75,0.897171365,0.682452755,90.6,90,90,100,100,100,100,100,33.3,33.3,41.7
491,80,75,0.655140932,1.760076129,96.9,50,80,100,91.7,0,100,100,0,0,50
492,70,60,-0.06326686,1.576880155,96.9,20,70,100,100,100,100,100,33.3,22.2,16.7
493,65,45,0.897171365,0.499256782,87.5,50,90,100,100,0,100,100,22.2,33.3,41.7
494,70,50,0.897171365,-0.217362761,75,0,50,33.3,100,0,33.3,0,0,0,33.3
495,85,45,0.897171365,-0.039554905,84.4,60,70,41.7,83.3,0,33.3,0,44.4,55.6,58.3
496,60,70,1.135360045,1.221264442,96.9,90,70,83.3,91.7,100,100,100,66.7,66.7,41.7
498,75,80,0.897171365,1.221264442,96.9,80,60,100,100,100,100,100,88.9,100,100
499,95,85,1.135360045,0.321448925,96.9,100,100,100,100,100,100,100,0,77.8,33.3
500,70,60,-1.023705086,0.860260612,78.1,30,40,33.3,100,0,100,0,0,0,33.3
502,65,65,0.655140932,0.499256782,84.4,90,100,100,100,100,100,100,11.1,11.1,41.7
503,60,40,-0.785516406,-0.578366591,93.8,30,30,75,91.7,0,66.7,66.7,0,0,33.3
504,100,80,1.135360045,1.038068469,100,90,80,25,100,0,100,100,22.2,22.2,25
505,65,50,0.413110499,0.321448925,93.8,50,50,25,91.7,0,33.3,0,0,0,8.3
506,65,45,-1.265735519,-2.011605678,81.2,0,0,83.3,91.7,0,0,0,0,0,41.7
