id_code,cohort,start_time,end_time,duration,USborn,18plus,RUniYrs,School year,major,ratereading,ratewriting,ratespeaking,accent,born outside,engfirst,polideo,partypick,agecomeus,ssn,religion,othrel,denom,collcredits,englevel,firstlang,prevexp,expparticip,firstlogin,FathEd,FathOcc,MothEd,Income,class,gender,SelfIncome,marital,comfyspkreadeng,turn18quarter,gpa,mothocc,closerparty,Ethnic,hispdetail,hispother,asiandetail,asianother,ethdenomination,affirmgoodfaith,usemydata,birthdate,plan4yearuni,age,wheremomborn,wheremomraised,wheredadborn,wheredadraised,stateborn,Motheth,mothethexp,fatheth,fathethexp,socpsychclass,missionfoothill,majorconc,highestdegstrin,otherdegree,SES,acknowledge,SDO1,SDO2,SDO3,SDO4,SDO5,SDO6,learnid_1,learnid_2,learnid_3,gms.in_1,gms.in_2,wmnpromote,geninequalex,geninequalprob,geninequalhigh,discrimnoprob,discrimjobs,sexisttv,menwomeneq,womenmenop,opsociety,allgrpadvance,lowtohighstatus,certaingroups,definementor,hopementee,goalsmentor,somementor,benfitmentor,gaystraight,pellgrant,declaremaj,changingmaj,commonmaj,howbalancdist,underforty,averagpersdist,typicalsucdist,typicalunsuc,genderhappens,oppgender,govpolicydont,unfairfavorgen,risefallgender,uniquegender,govpolicybad,SEC532,SEC533,chairparts,spatialrel,diagrams,math1,math2,math3,math4,math5,math6,math7,math8,math9,math10,math11,math14,math15,math16,howmanymath,mathposthigh
52069,Fall17,10/1/2017 13:25,10/1/2017 13:40,15,1,1,5,6,Psychology,5,4,5,1,N/A,1,1,1,0,1,7,N/A,1,N/A,5,[Decline to Answer],1,[Decline to Answer],"Yes,  I have been in the REP before and this is my original REP account",1,N/A,1,4,2,2,4,1,1,2,2.08,N/A,4,4,8,N/A,1,N/A,N/A,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",1/1/1994,6,23,China,China,China,China,CA,4,N/A,4,N/A,3,3,10,3,N/A,5,1,1,1,1,7,7,7,4,6,6,1,6,5,7,7,7,1,7,1,1,1,5,5,5,7,Some who is there to help you and provide guidance.,"To have a relationship with someone that will always help and guide me, and support me in the decisions I make.","To finish school with a Psychology degree, and finding the perfect career for me.",1,[Decline to Answer],2,1,1,[Decline to Answer],[Decline to Answer],0,1,15,25,0,5,1,3,1,3,7,7,40,27,7,7,7,5,3,7,5,5,6,7,4,2,2,N/A,"1, 2, 5",Statistics 2014,N/A,3,2
55549,Fall17,10/1/2017 12:51,10/1/2017 13:18,27,1,1,1,3,Psychology,4,4,5,1,n/a,1,4,1,0,1,2,n/a,7,75 quarter units,5,English,1,with this group,"Yes,  I have been in the REP before and this is my original REP account",2,Electrician,1,1,3,1,14,1,1,2,3.11,Home Health Care Aide,4,3,1,n/a,7,n/a,n/a,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",1/11/1990,2,27,"San Jose, CA, USA","Alviso, CA, USA","San Jose, CA, USA","San Jose, CA, USA",CA,3,Hispanic,3,Hispanic,2,2,10,3,n/a,5,1,1,1,1,7,7,7,6,6,6,1,5,6,7,7,7,1,1,1,1,1,1,1,7,7,[Decline to Answer],[Decline to Answer],[Decline to Answer],1,[Decline to Answer],2,1,1,"No, I like my major",[Decline to Answer],15,1,50,40,10,5,2,6,2,2,2,2,115,21,1,1,1,3,5,7,2,6,6,2,5,2,2,Statistic 2017,"1, 2, 5",Statistics 2017; Algebra 2016; Geometry 2006,n/a,4,3
55873,Fall17,10/6/2017 9:43,10/6/2017 10:13,30,1,1,1,4,Psychology,3,3,3,0,n/a,1,4,7,0,1,7,Catholic,2,not sure,5,English,1,Foothill College,"Yes,  I have been in the REP before and this is my original REP account",4,Not sure,3,5,4,2,14,1,1,2,not sure,Not sure,2,3,1,n/a,7,n/a,n/a,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",8/23/1995,6,22,Mexico,[Decline to Answer],"Redwood City, CA, USA",California,CA,3,Mexican,3,Mexican,2,2,10,3,n/a,5,1,4,4,4,6,6,6,5,5,5,3,4,6,6,6,6,2,4,3,2,5,5,4,4,4,Someone who gives advice.,Trust,Give good advice,1,Friendship. Talk about everything.,2,2,1,[Decline to Answer],Not sure of what they want.,35,1,50,40,30,4,4,4,4,4,4,4,155,28,5,5,4,3,5,6,4,6,6,5,4,3,1,Algebra,1,[Decline to Answer],[Decline to Answer],3,4
56668,Fall17,9/26/2017 20:38,9/26/2017 20:50,12,0,1,4,4,Sociology,3,3,3,1,China,1,2,1,1,1,6,na,1,170,5,English,1,prior experiments with REP,"Yes,  I have been in the REP before and this is my original REP account",6,engineer,6,11,5,2,14,1,1,2,3.34,tech writer,2,4,8,na,1,na,na,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",4/19/1995,7,22,Hong Kong,Hong Kong,Hong Kong,Hong Kong,China,4,na,4,na,1,2,10,4,n/a,6,1,4,2,2,6,6,6,3,3,4,2,5,3,7,7,7,1,6,1,1,1,3,3,6,6,Someone that you look up to,"Compassion, understanding, help/assistance",Future goals/plans for life,1,Benefits include understanding and assistance,2,2,1,no,unhappy with current major,15,1,30,30,0,4,4,5,4,4,3,6,75,30,5,4,5,6,6,4,4,3,6,4,4,5,2,Statistics,"1, 2, 3, 4, 5","Statistics, 2017",N/A,4,2
57598,Fall17,9/29/2017 23:20,9/29/2017 23:45,25,0,1,3,5,Psychology,3,3,3,0,Philippines,1,3,1,1,1,2,n/a,2,61,5,English,1,[Decline to Answer],"Yes,  I have been in the REP before and this is my original REP account",5,Staff work at a school,5,5,2,1,3,1,1,2,3.3,Licensed vocational nurse,4,4,8,n/a,4,n/a,n/a,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",12/22/1994,6,22,Philippines,Philippines,Philippines,philippines,N/A,4,filipino,4,filipino,5,1,10,3,[Decline to Answer],4,1,2,2,2,6,7,7,5,5,5,4,5,6,6,6,5,3,6,2,4,3,6,5,6,4,A person who guides and helps you.,A better understanding of what I am trying to learn,To become a good mentor to another person if my mentor was good.,2,[Decline to Answer],2,2,1,[Decline to Answer],They didn't like their major,30,1,30,40,20,5,5,6,4,4,4,6,120,34,6,6,6,2,6,7,2,6,6,5,5,1,1,statistic,"1, 5",statistics 2017,[Decline to Answer],3,4
57670,Fall17,10/5/2017 14:11,10/5/2017 14:29,18,1,1,5,6,Biology,5,5,5,1,N/A,1,3,6,0,1,2,n/a,4,160+,5,English,1,REP,"Yes,  I have been in the REP before and this is my original REP account",7,"Intel, Computer software",3,7,2,2,14,1,1,2,3.6,Bank Auditor,2,7,8,n/a,7,n/a,"Black/African American, Central American and Mexican","Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",61294,7,23,"San Jose, CA, USA","San Jose, CA, USA","Inglewood, CA, USA","San Jose, CA, USA",CA,3,N/A,2,N/A,1,2,10,5,[Decline to Answer],4,1,1,1,1,5,5,6,5,6,6,2,6,6,7,7,7,2,6,1,3,4,2,2,7,7,Someone who looks out for you and makes sure you are on the right path. A resource for you if you're struggling.,Someone to guide me in times of need and also to network. Help me find opportunities.,"Getting into higher education programs, help find a job or network with the right people.",2,[Decline to Answer],,1,1,No,Unsure of what they wanted when they initially picked a major,20,1,30,20,20,5,5,3,7,5,4,7,90,36,6,6,7,5,6,5,6,5,7,7,4,3,2,Calculus,"1, 2, 3, 4","Algebra 2008, Geometry 2009, Pre-Calc 2011, 2014, Calculus 2012, 2013",[Decline to Answer],4,5
57964,Fall17,10/11/2017 23:41,10/11/2017 23:54,13,1,1,2,3,psychology,5,5,5,1,n/a,0,1,1,0,1,2,n/a,2,189,5,spanish,0,[Decline to Answer],"No,  I have been in the REP before and made a new account.  If so STOP-log out and contact the REP Admin with your course number, section, or CRN.",2,supervisor at small business,2,7,2,2,4,1,1,2,2.6,housewife,3,3,1,n/a,7,n/a,n/a,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",12/17/1993,6,23,"michuacan, apatzingn, mexico","michuacan, apatzingn, mexico","michuacan, apatzingn, mexico","michuacan, apatzingn, mexico",ca,3,mexican,3,mexican,1,2,10,4,[Decline to Answer],4,1,5,4,5,5,5,5,5,6,5,5,5,5,4,4,4,2,5,4,4,2,5,5,5,5,[Decline to Answer],[Decline to Answer],[Decline to Answer],1,[Decline to Answer],2,2,1,[Decline to Answer],[Decline to Answer],50,1,65,20,35,3,2,5,6,3,5,3,170,27,6,5,6,6,6,4,6,6,4,5,6,6,2,stats,"1, 2, 3, 4, 5",[Decline to Answer],[Decline to Answer],5,2
58756,Fall17,9/30/2017 14:56,9/30/2017 16:05,69,1,1,5,4,Allied Health/LVN,3,3,5,1,N/A,1,2,1,0,1,6,No religious belief,7,78,5,English,1,Stanford University Institute for Research in the Social Sciences Research Experience Program,"Yes,  I have been in the REP before and this is my original REP account",2,Tradesman - Lumber Grader (i.e. someone who grades lumber quality at saw mill).  Also was a plumber.,2,2,1,2,14,1,1,2,368,Restaurant Cook,4,8,8,N/A,7,N/A,American Indian/Irish White Caucasian,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",3/27/1955,3,62,"Beech Fork, Tennessee, USA","Beech Fork, Tennessee, USA","Ritzville, Washington, USA","Ritzville, Washington, USA and Moscow, Idaho, USA","Moscow, Idaho, USA",1,N/A,1,N/A,2,1,10,4,Other was for the Basic College Math class.,3,1,2,2,1,7,6,6,6,6,5,1,6,3,7,7,6,1,7,2,5,1,5,3,2,3,"Someone who has more life experience than you, and offers advice to another person based on those life experiences.",I hope that as a mentee I would use the advice of the mentor to  guide the life decisions and choices I made.,"The goal to be successful professionally, for a second time, and this time around make the time to enjoy each and every day of life.",2,"I have had mentors in the past, but today at this time,  I do not have anyone in my life that I consider a mentor.",2,2,1,No,"Classes are to difficult.  After taking classes, the person realizes that the subject does not inspire them, and what they really want to do in life.",25,2,10,25,0,7,6,3,4,7,6,7,60,40,6,6,6,5,6,7,6,5,7,3,3,1,1,Math For Health Occupations,"1, 6",Algebra in 1972,Basic College Math in 1975,2,1
60427,Fall17,9/26/2017 23:55,9/27/2017 0:15,20,1,1,3,4,Sociology,4,5,3,1,U.S.,1,8,6,0,1,7,catholic,2,I don't know,4,[Decline to Answer],1,[Decline to Answer],"Yes,  I have been in the REP before and this is my original REP account",4,owns a business,3,6,4,2,6,1,1,2,2.9,business manager,4,4,7,n/a,5,n/a,n/a,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",7/12/1996,6,21,Saigon,Vietnam,Saigon,Vietnam,CA,4,Vietnamese,4,Vietnamese,1,2,10,4,[Decline to Answer],5,1,4,5,4,7,6,7,6,4,6,3,6,3,5,3,4,3,7,1,4,3,4,5,4,4,someone who helps you,support and discovery,[Decline to Answer],1,best friend,4,2,1,[Decline to Answer],people change their interest,35,1,45,50,40,6,5,4,7,6,5,7,170,40,6,5,5,3,7,7,4,6,6,5,5,2,2,statistics,"1, 2, 3",Statistics 2014,[Decline to Answer],4,1
60613,Fall17,9/28/2017 10:33,9/28/2017 11:04,31,1,1,4+,5,MCD Biology,3,3,3,1,n/a,1,4,1,0,1,6,n/a,1,I have my undergraduate degree,5,english,1,REP,"Yes,  I have been in the REP before and this is my original REP account",1,laborer,2,2,1,1,14,1,1,2,3,ross,2,8,1,My mom was adopted,7,n/a,n/a,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",5031990,7,27,La,all around the world,mexico,mexico,ca,6,adopted,3,n/a,2,1,10,5,MCD Biology.,6,1,1,1,1,6,6,1,4,4,4,2,4,6,6,6,6,2,6,2,2,3,5,5,5,5,someone to look up too,help with my issues,what ever issues i may have,1,"my family, relatinships",1,1,1,n0,"more money, too hard to succeed",15,1,25,70,25,5,4,4,1,4,4,4,135,26,7,7,7,4,4,4,5,4,6,3,5,4,2,none,"1, 2, 3, 4, 5",[Decline to Answer],[Decline to Answer],4,4
