id_code,cohort,start_time,end_time,duration,USborn,18plus,RUniYrs,School year,major,ratereading,ratewriting,ratespeaking,accent,born outside,engfirst,polideo,partypick,agecomeus,ssn,religion,othrel,denom,collcredits,englevel,firstlang,prevexp,expparticip,firstlogin,FathEd,FathOcc,MothEd,Income,class,gender,SelfIncome,marital,comfyspkreadeng,ADHD,learndisability,skinallergy,headinjury,turn18quarter,gpa,mothocc,closerparty,Ethnic,hispdetail,hispother,asiandetail,asianother,ethdenomination,affirmgoodfaith,usemydata,handedness,birthdate,plan4yearuni,age,wheremomborn,wheremomraised,wheredadborn,wheredadraised,stateborn,fatigue,teethclench,templesach,mouthwide,jawjoint,clickjoint,Motheth,mothethexp,fatheth,fathethexp,socpsychclass,missionfoothill,grindwakeful,majorconc,highestdegstrin,otherdegree,SES,acknowledge,SDO1,SDO2,SDO3,SDO4,SDO5,SDO6,learnid_1,learnid_2,learnid_3,gms.in_1,gms.in_2,childunder18,clenchwakeful,grindteeth,clenchteeth,dentition,wmnpromote,geninequalex,geninequalprob,geninequalhigh,discrimnoprob,discrimjobs,sexisttv,menwomeneq,womenmenop,opsociety,allgrpadvance,lowtohighstatus,certaingroups,baldistribution,operlaptop,operphone,phonecard,definementor,hopementee,goalsmentor,somementor,benfitmentor,gaystraight,pellgrant,mancomplete,specialfavor,innocentremark,womeasily,qualitypure,womcherish,womcontrol,womexagg,womfaircomp,fewwomteas,womsuperior,feminists,womrefined
56944,Sum17,6/26/2017 15:37,6/26/2017 16:18,41,0,1,5,6,Social Work,2,1,2,0,Vietnam,0,4,2,2,1,2,n/a,2,73,3,Vietnamese,0,n/a,"Yes,  I have been in the REP before and this is my original REP account",2,Electronic technician,2,4,3,2,14,4,0,0,0,0,0,2,4,electronic assembler,4,4,8,n/a,5,n/a,n/a,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",1,11/29/1971,7,45,Vietnam,Vietnam,Vietnam,Vietnam,Vietnam,2,2,2,2,2,2,4,Vietnam,4,Vietnam,2,1,2,10,4,[Decline to Answer],5,1,4,1,1,6,6,7,5,5,5,3,5,1,2,1,1,3,5,7,6,6,2,6,4,2,2,5,5,5,5,2,1,8,1,Like a teacher,[Decline to Answer],[Decline to Answer],2,[Decline to Answer],2,1,3,3,4,7,6,5,4,2,2,4,6,1,5
57187,Sum17,6/28/2017 12:06,6/28/2017 12:35,29,1,1,2.5,4,Psychology and Sociology,5,5,5,0,n/a,0,4,5,0,1,1,n/a,1,70,5,Chinese,0,n/a,"Yes,  I have been in the REP before and this is my original REP account",3,Technician,2,6,4,2,14,1,1,0,0,0,0,2,3.5,Cashier,4,4,8,n/a,1,n/a,n/a,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",1,9/4/1994,7,22,China,China,"Hong Kong, China","Hong Kong, China",CA,2,2,2,2,2,2,4,Chinese,4,Chinese,2,1,2,10,4,n/a,5,1,5,4,4,3,5,4,6,6,4,4,6,2,2,2,2,2,5,5,5,4,2,5,4,3,3,2,5,7,7,1,1,5,2,A mentor is someone who ignites knowlege and looks after their pupil.,The most important thing would be trust.,"Goals such as accomplishments, compassion and dreams.",2,"No, I don't have a mentor.",2,2,6,4,4,2,4,7,5,4,6,4,3,4,5
57295,Sum17,7/5/2017 16:57,7/5/2017 17:28,31,1,1,4,5,Nursing,4,5,4,0,N/A,1,6,5,0,1,6,N/A,1,60,5,[Decline to Answer],0,N/A,"Yes,  I have been in the REP before and this is my original REP account",7,Janitor,7,7,2,1,14,1,1,0,0,0,0,2,2,CNA,3,3,5,N/A,7,N/A,N/A,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",1,7/15/1994,3,23,"San Salvador, El Salvador","San Salvador, El Salvador","San Salvador, El Salvador","San Salvador, El Salvador",CA,1,2,2,2,2,2,3,N/A,3,N/A,2,1,1,7,3,[Decline to Answer],7,1,2,2,2,6,6,6,6,5,4,5,5,2,1,2,2,2,4,7,6,7,3,4,1,4,4,5,4,1,3,2,1,1,1,[Decline to Answer],Guidance,[Decline to Answer],2,[Decline to Answer],2,2,4,4,2,3,1,5,5,3,3,6,2,1,6
58576,Sum17,6/26/2017 23:09,6/26/2017 23:26,17,1,1,1,3,"Public health sciences, or chemistry",5,5,3,1,N/A,0,3,1,0,1,1,N/A,7,28,5,Vietnamese,0,N/A,"Yes,  I have been in the REP before and this is my original REP account",5,Engineer,5,4,4,2,14,1,1,0,0,0,0,2,3.3,Accountant,4,4,8,N/A,5,N/A,N/A,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",1,9/27/1997,6,19,"Ho Chi Minh City, Vietnam","Ho Chi Minh City, Vietnam","Hanoi, Vietnam","Hanoi, Vietnam",CA,2,1,2,2,2,2,4,Vietnamese,4,Vietnamese,2,1,1,1,3,[Decline to Answer],4,1,1,1,1,6,6,6,6,6,6,2,6,2,2,2,2,2,5,7,7,7,1,7,3,2,1,1,3,7,7,1,2,5,2,"Someone who is humble, compassionate, has faith in humanity",Another comrade/companion in life,Learn how to believe in myself,1,"Defining healthy relationships, how to not to give up on life, boundaries",2,1,4,1,1,2,6,5,2,2,2,4,7,7,6
59806,Sum17,7/5/2017 11:16,7/5/2017 11:36,20,1,1,3,4,Kinesiology,3,3,3,1,N/A,1,2,1,0,1,2,N/A,2,65,5,[Decline to Answer],1,Stanford,"Yes,  I have been in the REP before and this is my original REP account",1,Apartment Manager,2,8,3,1,14,1,1,0,0,0,0,2,3.2,hair stylist,2,3,1,N/A,7,N/A,N/A,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",1,10/21/1996,7,20,Mexcio,Palo Alto CA,Mexio,Santa ana CA,CA,2,2,2,2,2,2,3,N/A,3,N/A,2,1,2,10,3,[Decline to Answer],4,1,1,1,1,6,7,6,5,5,5,3,5,2,2,2,2,2,5,6,6,6,2,5,3,3,5,4,4,7,7,3,2,6,2,Responsible and a leader,Knowledge,Gain a leadership attitude,1,[Decline to Answer],2,1,3,3,3,1,3,3,3,1,3,3,3,4,3
60427,Sum17,7/5/2017 15:45,7/5/2017 16:00,15,1,1,3,3,Sociology,3,3,3,1,N/A,1,6,7,0,1,7,catholic,2,100,5,[Decline to Answer],0,[Decline to Answer],"Yes,  I have been in the REP before and this is my original REP account",3,Business manager,3,9,5,2,14,1,1,0,0,0,0,2,2.9,business manager,4,4,8,N/A,5,N/A,N/A,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",1,7/12/1996,6,20,"Saigon, Vietnam","Saigon, Vietnam","Saigon, Vietnam","Saigon, Vietnam",California,2,2,2,2,2,2,4,Vietnamese,4,Vietnamese,1,2,2,10,3,[Decline to Answer],7,1,5,6,4,3,4,5,5,5,6,6,6,2,1,1,2,2,3,6,4,4,4,5,4,2,3,3,2,6,5,3,2,6,1,[Decline to Answer],learn more about others,[Decline to Answer],2,[Decline to Answer],2,2,1,,4,6,,6,4,7,7,3,2,,5
60757,Sum17,7/10/2017 17:51,7/10/2017 20:19,148,0,1,4,5,Business,2,2,4,0,Hong Kong,0,4,5,2,0,6,N/A,1,90,3,Cantonese,1,[Decline to Answer],"Yes,  I have been in the REP before and this is my original REP account",2,Clerk,2,4,3,1,14,1,1,0,0,0,1,2,3,Manager,3,4,8,N/A,1,N/A,N/A,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",2,4/16/1995,6,22,HK,HK,HK,HK,Hong Kong,2,2,2,2,2,2,4,Chinese,4,Chinese,2,2,2,10,4,[Decline to Answer],3,1,3,5,2,4,6,4,6,6,6,2,2,2,2,2,2,2,6,7,6,5,2,4,4,4,5,6,6,6,2,3,1,5,2,A mentor to me is someone who gives direction and points to the right way,[Decline to Answer],[Decline to Answer],1,The mentor helped me to become the person I am today,2,2,6,4,4,4,4,5,4,4,4,4,4,4,4
61849,Sum17,7/5/2017 19:47,7/5/2017 20:07,20,1,1,3,4,nursing/ biology,5,5,5,0,n/a,1,4,5,0,1,6,n/a,1,not sure,5,english,1,[Decline to Answer],"Yes,  I have been in the REP before and this is my original REP account",2,n/a,4,11,4,2,14,1,1,0,0,0,0,2,3,nurse,1,1,8,n/a,7,n/a,n/a,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",1,4/10/1996,6,21,California,California,Illinois,California,CA,1,1,2,2,2,2,1,n/a,1,n/a,1,2,2,10,3,[Decline to Answer],6,1,2,4,2,6,5,7,2,3,2,1,5,2,2,1,1,1,3,6,6,4,2,6,1,2,2,3,2,5,3,3,2,6,2,someone that helps guide a person,help and encouragement,not sure,2,[Decline to Answer],2,2,1,2,2,1,2,3,1,1,1,6,3,4,1
63718,Sum17,6/29/2017 17:03,6/29/2017 17:26,23,1,1,3,4,Environmental Studies,5,4,3,1,N/A,1,2,1,0,1,6,N/A,1,A lot,5,[Decline to Answer],1,REP and LEEPS lab at UCSC,"Yes,  I have been in the REP before and this is my original REP account",7,N/A,6,6,3,2,14,1,1,0,0,0,0,2,3.17,Job Counselor,4,4,8,N/A,4,N/A,N/A,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",1,12/31/1995,7,21,"Pangasinan, Philippines",[Decline to Answer],N/A,N/A,CA,2,2,2,2,2,2,4,Filipino,4,Filipino,2,1,2,10,7,3 years at a 4 year University,4,1,1,1,1,6,6,7,6,6,6,2,5,2,2,2,2,2,3,7,7,7,1,7,1,2,1,1,4,7,5,2,1,3,1,"Someone who has more experience than you in a certain field who wants to help you, provide constructive criticism, motivate, support, and guide you.",[Decline to Answer],"Life skills such as building confidence, staying committed to ideas, and overcoming obstacles as well as finding your voice",2,[Decline to Answer],2,1,1,1,1,1,1,1,1,1,2,,1,7,2
63763,Sum17,7/3/2017 12:20,7/3/2017 12:43,23,1,1,3,4,psychology,4,4,4,1,N/A,1,3,1,0,1,1,N/A,1,105,4,English,1,Stanford REP Survey,"Yes,  I have been in the REP before and this is my original REP account",3,Parts Assembler,3,8,3,1,14,1,1,0,0,0,0,2,3.35,Parts Assembler,4,4,8,N/A,5,N/A,N/A,"Yes, I have read and agreed with this statement.","Yes, I have read and agreed with this statement.",1,6/27/1996,7,21,Vietnam,Vietnam,Vietnam,Vietnam,CA,2,2,2,2,2,2,4,N/A,4,N/A,1,1,2,10,3,N/A,3,1,1,2,2,2,7,7,5,5,3,3,4,2,2,2,2,2,5,5,5,4,3,5,1,4,4,4,4,4,4,3,2,5,2,a person that teaches you life skills,learn some important life skills,complete tasks and learn new things,1,[Decline to Answer],3,1,2,1,1,1,4,3,1,1,1,1,4,4,5
