id_code,user,chairparts,spatialrel,diagrams,math1,math2,math3,math4,math5,math6,math7,math8,math9,math10,math11,math14,math15,math16,howmanymath,mathposthigh,ratereading,FathEd,MothEd,Income,class,gender,comfyspkreadeng,Ethnic
52069,1669,7,7,7,5,3,7,5,5,6,7,4,2,2,N/A,"1, 2, 5",Statistics 2014,N/A,3,2,5,1,1,4,2,2,1,4
55549,#N/A,1,1,1,3,5,7,2,6,6,2,5,2,2,Statistic 2017,"1, 2, 5",Statistics 2017; Algebra 2016; Geometry 2006,n/a,4,3,4,2,1,1,3,1,1,3
55873,1751,5,5,4,3,5,6,4,6,6,5,4,3,1,Algebra,1,[Decline to Answer],[Decline to Answer],3,4,3,4,3,5,4,2,1,3
56668,1642,5,4,5,6,6,4,4,3,6,4,4,5,2,Statistics,"1, 2, 3, 4, 5","Statistics, 2017",N/A,4,2,3,6,6,11,5,2,1,4
57598,#N/A,6,6,6,2,6,7,2,6,6,5,5,1,1,statistic,"1, 5",statistics 2017,[Decline to Answer],3,4,3,5,5,5,2,1,1,4
57670,#N/A,6,6,7,5,6,5,6,5,7,7,4,3,2,Calculus,"1, 2, 3, 4","Algebra 2008, Geometry 2009, Pre-Calc 2011, 2014, Calculus 2012, 2013",[Decline to Answer],4,5,5,7,3,7,2,2,1,7
57964,1848,6,5,6,6,6,4,6,6,4,5,6,6,2,stats,"1, 2, 3, 4, 5",[Decline to Answer],[Decline to Answer],5,2,5,2,2,7,2,2,1,3
58756,#N/A,6,6,6,5,6,7,6,5,7,3,3,1,1,Math For Health Occupations,"1, 6",Algebra in 1972,Basic College Math in 1975,2,1,4,2,2,2,2,2,1,1
60427,1523,6,5,5,3,7,7,4,6,6,5,5,2,2,statistics,"1, 2, 3",Statistics 2014,[Decline to Answer],4,1,4,4,3,6,4,2,1,4
60613,1681,7,7,7,4,4,4,5,4,6,3,5,4,2,none,"1, 2, 3, 4, 5",[Decline to Answer],[Decline to Answer],4,4,3,1,2,2,1,1,1,8
64237,1694,5,2,5,5,6,6,7,6,3,3,5,5,2,calculus,"1, 2, 3, 4, 5",Calculus in 2014,[Decline to Answer],4,2,3,5,6,11,5,2,1,4
65449,#N/A,6,5,5,6,6,7,4,6,5,4,5,5,2,Intermediate Algebra,1,2016,[Decline to Answer],3,1,5,5,5,11,4,2,1,1
66190,1764,6,6,5,4,6,6,5,4,6,4,5,3,2,210,1,[Decline to Answer],[Decline to Answer],3,5,5,1,1,3,3,2,1,3
66439,#N/A,6,6,5,3,5,6,4,5,6,5,5,3,2,n/a,"1, 2, 5",stats 2017,[Decline to Answer],3,3,3,3,2,5,2,2,1,3
67324,1606,5,4,5,5,5,5,3,2,6,2,2,2,2,AP statistics,"1, 2, 3, 5",Statistics 2007,[Decline to Answer],4,1,5,5,4,8,5,2,1,4
67408,198,5,6,7,6,6,7,3,6,7,7,5,4,2,Statistics,"1, 2, 3, 5",Statistics in 2016,[Decline to Answer],4,2,5,1,2,2,2,1,1,4
67717,1885,3,4,6,5,6,6,5,4,7,5,5,3,1,Micro Economics and last quarter i took intermediate Algebra,1,"Algebra 2, summer quarter",[Decline to Answer],3,5,3,2,3,8,2,2,1,3
67915,2206,3,5,5,5,4,5,4,4,5,2,5,3,2,Statistics,"1, 2, 5","Algebra 2010, Geometry 2012, Statistics 2015",[Decline to Answer],4,1,3,3,1,5,2,2,1,3
68257,321,5,6,6,6,6,6,4,6,6,6,5,6,2,Alg,"1, 2",Alg 2010,[Decline to Answer],1,1,4,1,5,3,2,2,1,7
68305,1719,6,3,4,1,6,7,3,2,6,6,3,2,2,algebra,"1, 6",[Decline to Answer],[Decline to Answer],2,2,4,1,1,3,4,1,1,4
68629,#N/A,6,5,7,4,6,6,7,3,6,4,6,2,1,Intermediate Algebra,"1, 2, 5",[Decline to Answer],[Decline to Answer],5,3,5,5,5,11,4,2,1,4
69025,941,5,5,2,1,5,5,5,5,4,4,4,2,1,intermediate Algebra,"1, 2",[Decline to Answer],[Decline to Answer],4,4,4,1,1,11,4,2,1,3
69172,1320,6,5,5,2,3,6,7,6,6,1,5,1,2,Statistics,5,Statistics- 2015,[Decline to Answer],4,1,4,2,3,4,3,2,1,7
69202,1807,6,6,5,2,2,1,7,7,7,6,4,2,2,statistics,"1, 2, 3, 5",[Decline to Answer],[Decline to Answer],4,2,4,3,2,8,4,1,1,4
69607,643,5,4,6,4,5,6,5,6,7,2,4,2,2,Statistics,"1, 2, 5","Algebra in 2013, Geometry in 2014",[Decline to Answer],3,4,4,3,1,8,4,2,1,3
70210,296,7,5,5,2,5,5,5,5,6,5,5,4,1,Calculus AB,"1, 2, 3, 4","Algebra I in 2013, Geometry in 2014, Algebra II in 2015, Pre-Calculus/Trigonometry in 2016, Calculus in 2017",N/A,4,1,5,5,5,12,5,1,1,4
70216,#N/A,4,6,5,4,6,7,5,4,7,5,5,4,2,Elementary Statistics,"1, 2, 5","Algebra 2011, Geometry 2012, Statistics 2015",[Decline to Answer],3,3,5,4,1,11,5,2,1,4
70339,1651,6,6,6,6,6,2,4,5,6,6,2,6,2,Statistics,"1, 2, 3, 5","Algebra in 2010, Geometry in 2011, Pre-Calculus in 2013, Statistics in 2016",[Decline to Answer],4,2,3,2,1,6,3,2,1,3
70459,236,6,5,5,6,5,6,3,3,5,5,6,5,2,calculus,"1, 2, 3, 4, 5",[Decline to Answer],[Decline to Answer],4,5,5,5,3,3,2,2,1,4
70558,413,5,6,6,2,6,6,5,7,6,5,6,5,1,calculus 2,"1, 2, 3, 4, 5",calculus 2 - present,[Decline to Answer],5,5,4,1,1,3,1,2,1,4
70615,883,2,2,5,1,6,5,7,3,6,2,6,2,2,Statistics in the 70s at UCR,6,Statistics in the 70s,Statistics in the 70s,3,1,5,5,5,14,3,2,1,4
70978,796,4,4,5,3,5,5,7,4,7,2,4,4,2,Algebra,"1, 2, 5, 6",[Decline to Answer],[Decline to Answer],5,1,5,5,6,9,3,2,1,9
71155,551,5,4,6,5,7,6,7,5,6,5,5,4,2,Statistics,"1, 2, 5",Statistics 2016,N/A,4,1,3,7,3,1,1,2,1,1
71353,781,7,5,5,1,6,7,4,6,6,3,4,2,2,NA,6,[Decline to Answer],[Decline to Answer],3,1,4,7,3,4,4,2,1,3
