user,repID,date_joined,last_login,cohort,MA.GoodatMath,MA.ImportantDoWell,MA.NaturallyBetter,MA.EffortImportant,MA.UnderstandQuickly,MA.ThinkCarefully,MA.PlugInNum,MA.PatternsOverCalc,MA.ExcitingIntimidating,SA.ChairParts,SA.SpatialRel,SA.Diagrams,howmanymath,mathposthigh,ratereading,gender,FathEd,MothEd,class,Ethnic,engfirst,A.Figure,A.Rotate,A.Letters,A.Vocab,PM.Arith,PM.XY,PM.Theta,PM.TTSinCos,PM.TTSides,PM.CTSinCos,PM.TrigRs,SM.XY,SM.Theta,SM.TTSinCos,SM.CTSinCos
156,69610,5/27/2016 5:32,1/15/2017 7:11,Win17,2,2,6,7,4,7,3,6,6,6,4,6,5,5,2,2,5,1,4,4,0,95,95,1.647933507,1.07336908,93.8,60,91.7,100,100,55.6,91.7,80,100,100,22.2
236,70459,6/20/2016 6:41,11/29/2017 16:59,Fall17,6,5,6,3,3,5,5,6,5,6,5,5,4,5,5,2,5,3,2,4,1,70,45,0.498928888,1.788542273,90.6,100,41.7,0,33.3,0,50,90,83.3,100,0
426,71593,10/11/2016 23:58,10/11/2016 23:58,Fall16,5,7,6,5,5,7,2,6,6,6,7,7,3,1,5,1,2,2,5,1,1,50,75,0.413110499,0.860260612,87.5,60,33.3,0,66.7,0,41.7,40,100,0,0
427,71791,10/12/2016 0:17,10/21/2016 1:43,Fall16,5,5,7,4,6,6,3,4,2,6,5,5,4,3,5,2,7,6,4,1,1,60,75,1.135360045,1.399072299,90.6,50,100,66.7,100,66.7,33.3,40,100,0,55.6
430,71800,10/12/2016 0:50,10/12/2016 0:50,Fall16,3,6,6,6,4,7,6,2,2,6,3,5,4,2,3,2,3,5,4,6,1,65,65,1.135360045,-1.117178278,96.9,50,58.3,100,100,0,41.7,90,100,100,0
431,71710,10/12/2016 1:19,10/12/2016 1:53,Fall16,6,6,5,6,5,6,3,6,6,6,6,5,5,1,4,1,5,5,6,1,1,65,95,0.655140932,-0.395170618,96.9,90,100,100,100,33.3,41.7,50,100,100,55.6
432,71182,10/12/2016 2:05,10/12/2016 2:05,Fall16,2,5,7,4,5,7,5,4,1,4,4,3,5,3,4,2,1,3,4,3,1,60,90,0.897171365,-0.217362761,84.4,30,33.3,0,33.3,0,41.7,60,100,0,0
433,71167,10/12/2016 2:25,11/27/2016 19:44,Fall16,5,6,5,7,6,6,5,5,6,6,5,6,4,3,4,1,1,1,3,4,1,60,55,-1.023705086,1.038068469,84.4,0,25,0,0,0,16.7,0,25,0,0
434,65482,10/12/2016 2:59,10/12/2016 2:59,Fall16,4,3,5,4,5,6,4,3,3,7,3,6,3,3,3,2,4,4,4,1,1,45,80,0.413110499,0.143641069,96.9,70,33.3,0,100,0,41.7,100,100,0,0
435,65770,10/12/2016 3:03,10/12/2016 3:03,Fall16,3,6,6,6,4,6,3,5,4,6,5,7,5,1,5,2,6,3,5,4,1,75,30,1.135360045,0.321448925,87.5,70,25,100,100,11.1,33.3,50,100,100,22.2
437,57370,10/12/2016 3:26,10/25/2016 3:59,Fall16,5,5,6,7,6,7,5,5,4,7,5,7,3,1,4,1,5,5,4,4,1,85,100,0.897171365,0.682452755,100,100,100,100,100,11.1,50,80,100,100,77.8
438,71125,10/12/2016 3:36,12/1/2016 18:57,Fall16,5,5,6,5,5,7,5,7,5,5,5,7,4,1,5,2,5,1,4,4,1,40,60,1.135360045,0.321448925,96.9,100,25,0,100,11.1,33.3,40,100,100,11.1
439,72508,10/12/2016 5:32,10/12/2016 5:32,Fall16,6,6,6,6,5,6,6,3,5,5,5,6,4,4,5,2,5,5,4,1,1,70,75,0.897171365,-0.217362761,84.4,30,25,0,33.3,11.1,8.3,20,100,0,0
441,71152,10/12/2016 5:45,12/6/2016 23:03,Fall16,3,6,6,5,6,6,4,4,2,4,4,6,4,5,3,2,7,7,4,4,1,85,85,0.655140932,1.399072299,100,100,100,100,100,66.7,66.7,100,100,100,100
443,72076,10/12/2016 16:32,10/12/2016 16:32,Fall16,6,6,6,6,5,6,5,6,6,5,6,3,4,3,5,2,6,5,5,7,1,60,75,-0.305297293,0.682452755,87.5,10,33.3,0,33.3,0,33.3,70,83.3,0,0
445,71578,10/12/2016 18:02,10/12/2016 18:02,Fall16,5,7,7,5,6,7,5,4,4,6,5,6,2,2,4,2,4,2,4,5,1,70,50,1.135360045,0.321448925,68.8,10,33.3,0,33.3,0,41.7,20,91.7,0,0
446,71812,10/12/2016 18:21,10/12/2016 18:21,Fall16,1,4,7,4,4,5,4,5,1,6,5,7,4,2,2,2,1,1,1,4,0,65,90,-0.06326686,0.682452755,71.9,0,25,0,0,0,33.3,10,58.3,0,0
447,71065,10/12/2016 19:58,10/12/2016 19:58,Fall16,4,4,5,5,5,5,6,4,4,1,1,6,3,2,2,2,1,1,4,4,0,50,75,-0.06326686,-0.395170618,84.4,60,41.7,33.3,100,11.1,33.3,70,75,100,11.1
448,71305,10/12/2016 20:26,10/12/2016 20:26,Fall16,4,6,6,6,7,7,7,7,4,6,5,4,3,4,5,2,2,5,4,8,1,45,60,-1.745954631,-2.011605678,90.6,0,58.3,0,0,0,33.3,0,100,0,0
451,71191,10/12/2016 22:36,10/12/2016 22:36,Fall16,6,6,6,3,3,6,5,5,5,6,5,6,4,2,3,2,5,5,4,4,0,80,100,1.135360045,0.499256782,84.4,50,91.7,100,100,66.7,25,60,91.7,100,66.7
453,71608,10/13/2016 0:05,10/13/2016 0:05,Fall16,3,7,6,7,6,7,6,6,3,5,4,5,4,5,4,2,4,5,4,4,0,50,55,-1.745954631,-0.756174448,3.1,0,33.3,0,100,0,25,0,50,0,0
455,71509,10/13/2016 2:45,10/13/2016 2:45,Fall16,4,3,6,2,6,6,5,5,2,4,4,5,4,3,5,2,5,3,4,4,1,70,70,-0.06326686,0.860260612,84.4,100,58.3,100,100,11.1,41.7,100,83.3,100,22.2
457,59392,10/13/2016 3:56,12/11/2016 1:15,Fall16,6,4,7,4,3,6,5,5,4,7,5,5,3,4,5,2,4,1,4,4,0,45,85,0.655140932,-1.655989965,90.6,60,25,100,100,33.3,41.7,60,100,100,44.4
459,71227,10/13/2016 5:03,12/14/2016 4:33,Fall16,5,5,4,5,6,4,5,5,5,6,4,6,5,5,4,2,2,2,2,4,0,65,60,0.413110499,0.682452755,87.5,30,66.7,100,100,22.2,50,70,100,100,0
460,71929,10/13/2016 7:00,10/13/2016 7:00,Fall16,5,2,6,5,2,6,6,6,2,6,6,6,3,4,3,1,7,7,3,4,0,80,60,1.135360045,0.860260612,96.9,60,25,100,100,11.1,33.3,100,91.7,100,55.6
