order,id,page_id,Page,page_order,Chapter,question_order,questiontext
1,4,1,Number Line,1,XY Positions,1,"<p> As a foundation for trigonometry, we begin with a system you may already know for representing the position of a point along a <i>horizontal line</i>, a line that runs from left to right. </p> Let's get started! </p> Our line is marked with a position that corresponds to the value “0” (also known as the <i>origin</i>), and also with a unit length equal to 1. You can think of the unit as corresponding to something specific, such as ""one inch"" or ""one foot"" -- it could correspond to any unit we like. </p> <p> (Click the Continue button to move on.) </p>"
2,3,1,Number Line,1,XY Positions,2,"<p> Our line is marked off at unit intervals, both to the left and to the right of the origin, corresponding to different numbers of unit lengths away from the origin in either direction. You can reach positive positions by counting from “0” to the right, and negative positions by counting from “0” to the left. We will write expressions involving the letter x, such as x = 2, to indicate positions on this line. </p>"
3,5,1,Number Line,1,XY Positions,3,"<p>
Click and drag a point to the position where x = <span class='insert stimulus'>2</span>. Click Submit after you've positioned the point where you want it to see if you are right. (Don't worry, you don't have to nail the position exactly!)
"
4,6,1,Number Line,1,XY Positions,4,Where is x = -5? Try to mark it on the number line. <span class='insert stimulus hide'>-5</span>
5,7,1,Number Line,1,XY Positions,5,Where is x = -(-3)? Mark it on the number line! <span class='insert stimulus hide'>3</span>
6,8,1,Number Line,1,XY Positions,6,Where is <span class='insert stimulus'></span>? Mark it on the number line!
7,9,2,Mirror Images,2,XY Positions,1,"x = 3 and x = -3 can be thought of as “mirror images” of each other on the number line. The two positions are the same distance from 0, but in the opposite direction.
</p>
With this information, can you find the “mirror image” of the point at x = 4? Position this point on the number line, and then click Submit.
<span class='insert stimulus hide'>-4</span>"
8,10,2,Mirror Images,2,XY Positions,2,"Now consider x = -2. Where is its mirror image? Click it on the number line, and then Submit.
<span class='insert stimulus hide'>2</span>"
9,11,2,Mirror Images,2,XY Positions,3,"As we have seen, the mirror image of ""x = 4"" is ""x = -4""; the mirror image of ""x = -2"" is ""x = 2"".
</p>
You may notice a relationship between the minus sign ""-"" and the idea of mirror images. What is this relationship?"
10,12,2,Mirror Images,2,XY Positions,4,"While a number refers to a position on the number line, adding a minus sign in front of the number gives us the mirror image of that position. For instance, if you add ""-"" before 4, the position you will get is x = -4, the mirror image of x = 4 on the number line."
11,13,2,Mirror Images,2,XY Positions,5,"Now, we have two slightly harder questions for you. 
<p>
Is this statement true or false? 
</p>
“x = -(-3) is the mirror image of x = -3.”
<select>
<option class='correct'>True</option>
<option data-explain='If you place the point at x = -3, then its mirror image will be equally far from 0, but on the opposite side. So, the mirror image will be at x = -(-3)!'>False</option>
</select>"
