"","user","FigureRotation","EmbeddedFigure","LetterSets","Vocab","AddSubtract","MarkXYI","MarkXYII","MarkThetaI","MarkThetaII","Right Triangle Trig I","Right Triangle Trig II","Right Triangle Trig III","Right Triangle Trig IV","Right Triangle Trig V","TrigIDs","MA.GoodatMath","MA.ImportantDoWell","MA.NaturallyBetter","MA.EffortImportant","MA.UnderstandQuickly","MA.ThinkCarefully","MA.PlugInNum","MA.PatternsOverCalc","MA.ExcitingIntimidating","SA.ChairParts","SA.SpatialRel","SA.Diagrams","HSMath","PostHSMath"
"1",236,45,70,0.498928888057936,1.78854227271041,90.6,100,90,41.7,83.3,0,33.3,100,0,0,50,6,5,6,3,3,5,5,6,5,6,5,5,4,5
"2",426,75,50,0.413110499266802,0.860260612060269,87.5,60,40,33.3,100,0,66.7,0,0,0,41.7,5,7,6,5,5,7,2,6,6,6,7,7,3,1
"3",427,75,60,1.13536004470054,1.39907229877949,90.6,50,40,100,100,66.7,100,0,66.7,55.6,33.3,5,5,7,4,6,6,3,4,2,6,5,5,4,3
"4",428,100,55,-0.547327726044017,0.499256781958393,96.9,60,40,91.7,91.7,100,100,100,0,33.3,16.7,6,6,2,5,4,7,6,5,5,5,5,6,4,0
"5",429,90,45,-0.0632668604873644,0.499256781958393,100,90,100,100,100,100,100,100,11.1,11.1,25,5,5,6,4,3,3,5,4,5,5,6,5,4,0
"6",430,65,65,1.13536004470054,-1.11717827819926,96.9,50,90,58.3,100,100,100,100,0,0,41.7,3,6,6,6,4,7,6,2,2,6,3,5,4,2
"7",431,95,65,0.655140932045128,-0.395170617995509,96.9,90,50,100,100,100,100,100,33.3,55.6,41.7,6,6,5,6,5,6,3,6,6,6,6,5,5,1
"8",432,90,60,0.897171364823454,-0.217362761378167,84.4,30,60,33.3,100,0,33.3,0,0,0,41.7,2,5,7,4,5,7,5,4,1,4,4,3,5,3
"9",433,55,60,-1.02370508579818,1.03806846867761,84.4,0,0,25,25,0,0,0,0,0,16.7,5,6,5,7,6,6,5,5,6,6,5,6,4,3
"10",434,80,45,0.413110499266802,0.143641068723709,96.9,70,100,33.3,100,0,100,0,0,0,41.7,4,3,5,4,5,6,4,3,3,7,3,6,3,3
"11",435,30,75,1.13536004470054,0.321448925341051,87.5,70,50,25,100,100,100,100,11.1,22.2,33.3,3,6,6,6,4,6,3,5,4,6,5,7,5,1
"12",437,100,85,0.897171364823454,0.682452755442927,100,100,80,100,100,100,100,100,11.1,77.8,50,5,5,6,7,6,7,5,5,4,7,5,7,3,1
"13",438,60,40,1.13536004470054,0.321448925341051,96.9,100,40,25,100,0,100,100,11.1,11.1,33.3,5,5,6,5,5,7,5,7,5,5,5,7,4,1
